,location,total_sqft,bath,price,bhk,encoded_loc
203,Sarjapur  Road,1025.0,2,36.0,2,204
204,Electronic City,1108.0,2,63.0,2,77
205,Others,3045.0,3,170.0,3,184
206,Vijayanagar,1500.0,3,75.5,3,231
207,Raja Rajeshwari Nagar,1295.0,2,43.9,2,194
208,Budigere,1162.0,2,59.9,2,56
209,Sarjapur  Road,1035.0,2,49.2,2,204
210,Attibele,1600.0,4,52.8,4,23
211,Others,1464.0,3,46.0,3,184
212,Hennur Road,1866.0,2,61.58,3,99
213,Others,700.0,1,26.0,2,184
214,Kalena Agrahara,1804.0,3,120.0,3,125
215,Sarjapur,913.0,2,32.0,2,203
216,Talaghattapura,1868.0,3,131.0,3,218
217,Kengeri Satellite Town,883.0,2,45.0,2,140
218,Kogilu,1664.0,2,73.95,3,146
219,Hegde Nagar,2026.0,3,132.0,3,97
220,Balagere,1210.0,2,80.9,2,29
221,Others,4111.0,4,250.0,4,184
222,Kadugodi,1762.0,3,91.45,3,121
223,Jigani,1252.0,3,55.0,3,117
224,Gollarapalya Hosahalli,861.0,2,34.5,2,84
225,7th Phase JP Nagar,1420.0,2,100.0,3,8
226,Electronics City Phase 1,1490.0,3,78.8,3,79
227,Bisuvanahalli,1075.0,2,46.0,3,50
228,Old Madras Road,1425.0,2,94.0,3,183
229,Kalena Agrahara,1200.0,2,40.0,2,125
230,Kaggadasapura,1280.0,2,56.0,3,122
231,Others,1084.0,2,50.0,2,184
232,Kanakpura Road,1017.0,2,51.25,2,131
233,Haralur Road,1027.0,2,44.0,2,93
234,Electronic City Phase II,1069.0,2,45.0,2,78
235,Hebbal,1349.0,2,98.2,2,95
236,9th Phase JP Nagar,1005.0,2,50.0,2,10
237,Jakkur,1417.0,2,75.0,2,114
238,TC Palaya,1475.0,3,98.0,3,217
239,Others,950.0,2,47.0,2,184
240,Others,2000.0,4,120.0,4,184
241,Sarjapur  Road,1863.0,3,104.0,4,204
242,Singasandra,1010.0,2,29.5,2,211
243,Kalena Agrahara,1425.0,2,70.0,3,125
244,Vijayanagar,1450.0,3,100.0,3,231
245,Kothanur,1847.0,3,105.0,3,150
246,AECS Layout,1100.0,2,45.0,2,11
247,Kanakpura Road,525.0,1,26.0,1,131
248,Mallasandra,1665.0,3,95.0,3,162
249,Begur,1664.0,4,65.0,4,42
250,JP Nagar,1850.0,3,150.0,3,113
251,Panathur,1438.0,2,100.0,2,187
252,Others,1560.0,3,115.0,3,184
253,Yelahanka,1350.0,2,55.55,2,237
254,Kanakpura Road,1550.0,3,67.0,3,131
255,Malleshpalya,1140.0,2,46.5,2,163
256,Others,850.0,2,27.0,2,184
257,Whitefield,1280.0,2,75.0,2,235
258,Munnekollal,1170.0,2,52.0,2,169
259,Others,1113.0,2,51.0,2,184
260,Hennur Road,1385.0,2,83.09,2,99
261,Electronic City,1128.0,2,65.0,2,77
262,Haralur Road,1464.0,3,56.0,3,93
263,Others,1200.0,2,55.0,2,184
264,Kaval Byrasandra,1200.0,2,52.0,2,137
265,Kaggalipura,1150.0,2,55.0,3,123
266,Others,1645.0,3,95.0,3,184
267,Sarjapur  Road,1000.0,2,67.0,2,204
268,Haralur Road,2650.0,4,198.0,4,93
269,6th Phase JP Nagar,1192.0,2,74.0,2,7
270,Whitefield,1173.0,2,58.0,2,235
271,Uttarahalli,1020.0,2,45.0,2,226
272,Somasundara Palya,1600.0,3,64.0,3,212
273,Others,1200.0,2,79.0,2,184
274,Others,1230.0,2,48.0,2,184
275, Devarachikkanahalli,1250.0,2,40.0,2,0
276,Kalena Agrahara,1325.0,2,76.0,2,125
277,7th Phase JP Nagar,1850.0,3,150.0,3,8
278,Kanakpura Road,525.0,2,21.53,1,131
279,Basaveshwara Nagar,1200.0,2,65.0,2,40
280,Bommasandra,1260.0,3,49.36,3,52
281,Ardendale,1100.0,2,43.25,2,21
282,Harlur,1508.0,2,77.0,2,94
283,Others,1592.0,3,75.0,3,184
284,Akshaya Nagar,1388.0,2,57.0,2,13
285,Electronic City Phase II,630.0,1,28.35,1,78
286,Others,1762.0,3,125.0,3,184
287,Others,950.0,2,50.0,2,184
288,Magadi Road,1116.0,2,50.0,2,159
289,Narayanapura,1308.0,2,89.04,2,178
290,Others,1200.0,3,90.0,3,184
291,Bannerghatta Road,500.0,1,18.5,1,38
292,Hennur,1075.0,2,52.0,2,98
293,Bellandur,1205.0,2,66.0,2,44
294,5th Phase JP Nagar,1075.0,2,60.0,2,6
295,KR Puram,930.0,2,39.0,2,119
296,Balagere,1380.0,2,60.0,2,29
297,Kodigehaali,1166.0,2,55.0,2,143
298,Bannerghatta Road,1050.0,2,65.0,2,38
299,Begur Road,1200.0,2,46.8,2,43
300,Lakshminarayana Pura,1600.0,2,108.0,3,157
301,Billekahalli,1935.0,3,110.0,3,48
302,8th Phase JP Nagar,451.0,1,29.9,1,9
303,Electronic City,1800.0,3,95.0,3,77
304,Jalahalli,1400.0,3,77.0,3,115
305,Hegde Nagar,1801.0,3,115.0,3,97
306,Mahadevpura,1451.0,2,90.0,2,160
307,Anekal,1200.0,1,36.0,2,19
308,Begur Road,1160.0,2,44.0,2,43
309,Kanakpura Road,950.0,2,40.0,2,131
310,Others,1629.0,3,79.0,3,184
311,Vijayanagar,1826.0,3,121.0,3,231
312,7th Phase JP Nagar,1245.0,2,94.0,2,8
313,Raja Rajeshwari Nagar,1145.0,2,45.79,2,194
314,Sompura,825.0,2,33.0,2,213
315,Yeshwanthpur,1693.0,3,108.0,3,240
316,Electronics City Phase 1,1113.27,2,53.0,2,79
317,Others,1460.0,2,58.0,2,184
318,Doddathoguru,1050.0,2,32.0,2,73
319,Dodda Nekkundi,1260.0,2,55.0,2,70
320,Hosur Road,1656.0,2,120.0,2,107
321,Chandapura,1208.0,3,45.0,3,59
322,Whitefield,3252.0,4,230.0,4,235
323,Battarahalli,1200.0,2,65.0,2,41
324,7th Phase JP Nagar,1175.0,2,82.0,2,8
325,Others,1185.0,2,38.0,2,184
326,Kengeri,750.0,2,38.0,2,139
327,Kanakpura Road,1550.0,3,64.5,3,131
328,Others,1760.0,3,88.0,3,184
329,Billekahalli,1125.0,2,62.0,2,48
330,Anandapura,1000.0,2,55.0,2,17
331,Bommasandra Industrial Area,1090.0,2,31.48,2,53
332,TC Palaya,1200.0,2,60.0,2,217
333,Budigere,1991.0,4,103.0,3,56
334,Ambalipura,1105.0,2,75.0,2,14
335,Hoodi,985.0,2,67.0,2,100
336,Balagere,1590.0,3,79.0,3,29
337,CV Raman Nagar,1120.0,2,55.0,2,57
338,Others,1069.0,2,55.0,2,184
339,Marathahalli,1933.0,3,140.0,3,165
340,Hosur Road,1194.0,2,69.0,2,107
341,Brookefield,1150.0,2,69.0,2,55
342,Yelenahalli,1240.0,2,47.12,2,239
343,Raja Rajeshwari Nagar,1419.0,2,48.1,2,194
344,Others,1450.0,3,55.0,3,184
345,Others,1630.0,3,68.29,3,184
346,Dasanapura,708.0,1,40.0,2,67
347,Whitefield,11890.0,4,700.0,4,235
348,Bellandur,1250.0,2,76.0,2,44
349,7th Phase JP Nagar,1400.0,2,95.0,3,8
350,Sarjapur  Road,1670.0,2,57.0,3,204
351,Ardendale,1750.0,3,100.0,3,21
352,Vittasandra,1404.0,2,71.0,2,234
353,Hoodi,1715.0,2,95.0,3,100
354,Electronic City,630.0,1,34.65,1,77
355,Harlur,1752.12,3,135.0,3,94
356,Hulimavu,1650.0,3,78.0,3,108
357,Raja Rajeshwari Nagar,1295.0,2,55.47,2,194
358,Sarjapur  Road,1346.0,2,74.03,2,204
359,Hormavu,1150.0,2,55.0,2,103
360,AECS Layout,1620.0,3,98.0,3,11
361,Marathahalli,950.0,2,46.96,2,165
362,Harlur,2450.0,3,120.0,3,94
363,Electronic City Phase II,1220.0,2,35.23,3,78
364,Others,850.0,2,30.0,2,184
365,Padmanabhanagar,1020.0,2,63.0,2,185
366,Chikkalasandra,1100.0,2,50.0,2,63
367,Hebbal,1760.0,2,130.0,3,95
368,Ambalipura,1800.0,3,110.0,3,14
369,Akshaya Nagar,1070.0,2,54.0,2,13
370,Vidyaranyapura,1440.0,2,95.0,2,230
371,Amruthahalli,900.0,2,40.0,2,16
372,Whitefield,1130.0,2,42.16,2,235
373,Kodigehalli,1270.0,2,98.0,2,144
374,Others,1200.0,2,62.0,2,184
375,Others,4800.0,4,235.0,4,184
376,Others,1200.0,2,74.0,2,184
377,Subramanyapura,929.0,2,50.17,2,215
378,Others,1464.0,3,56.0,3,184
379,Others,2000.0,4,99.0,4,184
380,Chikkalasandra,1208.0,2,49.0,2,63
381,Hebbal Kempapura,1130.0,2,60.0,2,96
382,Others,1753.0,3,120.0,3,184
383,Hoodi,1196.0,2,94.42,2,100
384,5th Phase JP Nagar,1150.0,3,52.5,2,6
385,Electronic City,1128.0,2,63.0,2,77
386,Others,1000.0,2,53.0,2,184
387,Yelahanka,1035.0,2,45.0,2,237
388,Kereguddadahalli,950.0,2,32.0,2,141
389,Bisuvanahalli,1075.0,2,36.0,3,50
390,Whitefield,1040.0,2,48.5,2,235
391,Others,720.0,2,45.0,2,184
392,Lingadheeranahalli,1511.0,3,95.0,3,158
393,Others,1300.0,3,58.0,3,184
394,Hoodi,1545.0,3,68.75,3,100
395,Shampura,375.0,2,26.0,1,209
396,Vidyaranyapura,1062.0,2,38.0,2,230
397,Others,1115.0,2,40.0,2,184
398,JP Nagar,1000.0,2,35.0,2,113
399,Kambipura,883.0,2,45.0,2,127
400,Sarjapur  Road,1195.0,2,70.0,2,204
401,Others,700.0,1,41.0,1,184
402,Vittasandra,1246.0,2,67.0,2,234
403,Others,1600.0,4,80.0,4,184
404,Haralur Road,2805.0,5,154.0,4,93
405,Begur Road,1584.0,3,65.0,3,43
406,Hosur Road,1175.0,2,48.0,3,107
407,Others,1595.0,3,115.0,3,184
408,Others,1353.0,2,110.0,2,184
409,Electronic City,1599.0,3,125.0,3,77
410,Whitefield,1150.0,2,70.0,2,235
411,KR Puram,1155.0,2,42.74,2,119
412,Others,1200.0,2,85.0,1,184
413,Thanisandra,3000.0,4,120.0,4,219
414,Ramagondanahalli,1251.0,2,47.0,2,197
415,Others,1028.0,2,45.5,2,184
416,Arekere,1222.0,2,45.0,2,22
417,Bannerghatta Road,1170.0,2,66.0,3,38
418,Others,1385.0,2,48.48,3,184
419,HSR Layout,1372.0,2,68.0,2,92
420,Magadi Road,1282.0,2,49.0,3,159
421,Kanakpura Road,1135.0,2,39.73,2,131
422,Whitefield,1768.0,3,101.0,3,235
423,Others,1325.0,2,90.0,3,184
424,Electronic City,1599.0,3,99.0,3,77
425,Whitefield,1500.0,3,61.95,3,235
426,Uttarahalli,1286.0,2,63.0,2,226
427,Kammanahalli,2845.0,5,140.0,5,128
428,Others,1600.0,2,50.0,3,184
429,Hennur Road,1915.0,2,63.77,2,99
430,Munnekollal,1102.0,2,53.67,2,169
431,Yelahanka,1350.0,2,54.0,2,237
432,Banashankari,1200.0,2,42.0,3,30
433,Others,1800.0,1,80.0,2,184
434,Chikkabanavar,950.0,2,40.0,2,62
435,Kanakpura Road,525.0,1,27.25,1,131
436,Attibele,656.0,2,25.0,2,23
437,Others,1056.0,2,80.0,2,184
438,Bannerghatta Road,595.0,1,33.32,1,38
439,Others,1080.0,2,50.0,2,184
440,7th Phase JP Nagar,2225.0,3,160.0,3,8
441,Electronics City Phase 1,1490.0,3,84.0,3,79
442,Sarjapur  Road,1550.0,3,100.0,3,204
443,Sarjapur  Road,1600.0,3,86.0,3,204
444,Others,1160.0,2,55.0,2,184
445,Whitefield,4144.0,4,315.0,4,235
446,Sarjapur  Road,2100.0,3,125.0,3,204
447,Vittasandra,1404.0,2,69.3,2,234
448,Others,1544.0,3,120.0,3,184
449,Banashankari Stage III,1305.0,2,58.7,3,32
450,Marathahalli,1230.0,2,80.0,2,165
451,Others,1200.0,2,65.0,2,184
452,Harlur,1460.0,3,73.0,3,94
453,Gottigere,967.0,2,45.0,2,85
454,Others,540.0,1,36.0,1,184
455,Hormavu,715.0,1,46.0,1,103
456,Mysore Road,1020.0,2,48.95,2,171
457,Jigani,1020.0,2,40.0,2,117
458,Koramangala,1253.0,2,102.0,2,148
459,Others,1180.0,2,42.0,2,184
460,Nehru Nagar,961.0,2,38.0,2,180
461,Kanakapura,1419.0,3,75.0,3,130
462,Others,1600.0,2,115.0,2,184
463,Others,416.0,1,18.5,1,184
464,HSR Layout,1430.0,2,65.0,3,92
465,Others,1260.0,2,45.0,2,184
466,Others,1630.0,3,85.0,3,184
467,Sarjapur  Road,1249.0,3,44.71,3,204
468,Kalena Agrahara,1450.0,2,85.0,3,125
469,Konanakunte,2791.0,3,223.0,3,147
470,Others,834.0,1,60.0,1,184
471,Others,1125.0,4,70.0,3,184
472,Arekere,2060.0,3,140.0,3,22
473,Raja Rajeshwari Nagar,1133.0,2,49.07,2,194
474,Bisuvanahalli,1075.0,2,37.0,3,50
475,Vidyaranyapura,1200.0,2,55.0,2,230
476,Thanisandra,1075.0,2,45.8,2,219
477,Kaggadasapura,1140.0,2,40.0,2,122
478,Raja Rajeshwari Nagar,1090.0,2,42.0,2,194
479,R.T. Nagar,1500.0,4,70.0,4,192
480,Whitefield,1790.0,3,100.0,3,235
481,Hebbal,1920.0,3,134.0,3,95
482,HRBR Layout,1374.0,2,95.0,2,91
483,Bannerghatta Road,1445.0,3,95.0,3,38
484,Kanakapura,711.0,1,36.0,1,130
485,Tumkur Road,1500.0,3,95.0,3,224
486,Whitefield,1720.0,3,100.0,3,235
487,Vasanthapura,1400.0,3,60.0,3,229
488,Kundalahalli,1030.0,2,49.0,2,154
489,Mysore Road,1200.0,2,85.0,2,171
490,Others,1375.0,3,70.0,3,184
491,Hegde Nagar,1050.0,1,56.0,2,97
492,Jalahalli,2250.0,3,160.0,3,115
493,Bellandur,1000.0,2,50.0,2,44
494,Others,469.0,1,25.0,1,184
495,Marathahalli,3800.0,4,250.0,4,165
496,Kambipura,883.0,2,29.0,2,127
497,GM Palaya,1820.0,2,86.0,3,81
498,Singasandra,1440.0,2,65.0,3,211
499,Others,3600.0,4,160.0,6,184
500,Mahadevpura,1225.0,2,48.0,2,160
501,Chikkalasandra,875.0,2,52.8,2,63
502,Jalahalli East,750.0,1,40.0,1,116
503,6th Phase JP Nagar,1180.0,2,80.0,2,7
504,Haralur Road,1194.0,2,47.0,2,93
505,Hennur Road,1500.0,2,62.0,3,99
506,Others,1160.0,2,52.2,2,184
507,Sarjapur,1128.0,2,60.0,2,203
508,Others,1220.0,2,35.23,3,184
509,Sarjapur  Road,1210.0,2,58.0,2,204
510,Kanakpura Road,1100.0,2,58.0,3,131
511,Bommasandra,1200.0,3,46.0,3,52
512,Haralur Road,3385.0,5,260.0,4,93
513,Others,1641.0,3,66.0,3,184
514,Horamavu Agara,1200.0,2,45.0,2,101
515,Raja Rajeshwari Nagar,1260.0,2,67.39,2,194
516,Mahadevpura,1720.0,3,78.0,3,160
517,Yelahanka,1692.5,2,48.13,2,237
518,Yelahanka,1210.0,2,45.98,2,237
519,Bisuvanahalli,1075.0,2,45.0,3,50
520,Thanisandra,1702.0,3,130.0,3,219
521,Raja Rajeshwari Nagar,1141.0,2,38.55,2,194
522,Others,2072.0,3,108.0,3,184
523,JP Nagar,7720.0,2,375.0,5,113
524,Others,1200.0,2,70.0,3,184
525,Others,1350.0,3,77.0,3,184
526,Others,5591.0,4,445.0,4,184
527,Others,1180.0,2,78.34,3,184
528,Bannerghatta Road,1640.0,2,120.0,3,38
529,Kodichikkanahalli,1190.0,2,57.0,3,142
530,Marathahalli,1019.0,2,49.85,2,165
531,Akshaya Nagar,1250.0,3,40.0,3,13
532,Whitefield,1140.0,2,56.0,2,235
533,Lingadheeranahalli,1683.0,3,109.0,3,158
534,Kaggadasapura,1515.0,3,83.3,3,122
535,Hoodi,2118.0,4,111.0,4,100
536,Bannerghatta Road,1380.0,3,58.0,4,38
537,Varthur Road,1083.0,2,61.75,2,228
538,Others,2300.0,3,120.0,3,184
539,Others,1240.0,2,60.0,2,184
540,Others,1750.0,3,120.0,3,184
541,Others,1230.0,2,43.48,2,184
542,Abbigere,985.0,2,40.39,2,12
543,Tindlu,1500.0,2,87.0,3,223
544,Electronic City,1125.0,2,32.49,2,77
545,Others,950.0,2,44.0,2,184
546,JP Nagar,7800.0,2,548.5,5,113
547,Kothanur,1580.0,3,76.0,3,150
548,Hennur Road,2264.0,3,159.0,3,99
549,Kammasandra,810.0,2,24.5,2,129
550,Others,1045.0,2,45.0,2,184
551,Hebbal,1337.0,2,82.0,2,95
552,Begur Road,1500.0,2,54.0,3,43
553,Whitefield,1640.0,4,91.0,3,235
554,Others,1570.0,3,62.0,3,184
555,Gubbalala,1470.0,2,82.0,3,87
556,Kengeri,1160.0,2,40.61,2,139
557,7th Phase JP Nagar,1050.0,2,71.0,2,8
558,Bannerghatta Road,1460.0,2,90.0,3,38
559,Hulimavu,1823.0,3,100.0,3,108
560,Electronic City,1094.0,2,42.0,2,77
561,Budigere,1153.0,2,57.0,2,56
562,Others,1325.0,3,57.0,3,184
563,Parappana Agrahara,1200.0,3,85.0,4,188
564,Jakkur,1590.0,2,125.0,3,114
565,Others,1202.0,2,48.0,2,184
566,Haralur Road,1202.0,2,53.0,2,93
567,Others,1200.0,2,62.5,2,184
568,Panathur,1688.0,3,118.0,3,187
569,Kaval Byrasandra,1020.0,2,52.0,2,137
570,Sarjapur,1185.0,2,47.0,2,203
571,Ramagondanahalli,1235.0,2,52.04,2,197
572,Banashankari,1077.0,2,37.64,2,30
573,Kengeri Satellite Town,1415.0,2,66.0,3,140
574,EPIP Zone,2330.0,3,162.0,3,76
575,Whitefield,805.0,2,35.0,2,235
576,Others,425.0,1,20.03,1,184
577,Whitefield,1155.0,2,59.95,2,235
578,Anekal,656.0,2,22.0,2,19
579,Mahadevpura,1150.0,2,52.0,2,160
580,Whitefield,2280.0,4,126.0,3,235
581,Hegde Nagar,1341.0,2,97.0,2,97
582,Jakkur,1279.0,2,77.0,2,114
583,Electronic City Phase II,2225.0,4,98.88,4,78
584,Thanisandra,1185.0,2,43.51,2,219
585,Others,1750.0,3,85.0,3,184
586,Kudlu,1152.0,2,53.5,2,151
